measurement_ratio,trial,algorithm,implementation,peak_working_set_bytes,residual_bytes,x_hat_bytes,support_mask_bytes,solver_gram_bytes,solver_rhs_bytes,support_history_bytes,residual_history_bytes,support_size_history_bytes,candidate_size_history_bytes,group_size_history_bytes,support_condition_history_bytes,extra_array_bytes
0.1875,0,Improved-gOMP,baseline,2952.0,384.0,2048.0,0.0,0.0,0.0,312.0,48.0,40.0,40.0,40.0,40.0,0.0
0.1875,0,Improved-gOMP,optimized,4088.0,384.0,2048.0,0.0,1352.0,104.0,104.0,48.0,40.0,0.0,0.0,8.0,0.0
0.1875,1,Improved-gOMP,baseline,3168.0,384.0,2048.0,0.0,0.0,0.0,488.0,56.0,48.0,48.0,48.0,48.0,0.0
0.1875,1,Improved-gOMP,optimized,4832.0,384.0,2048.0,0.0,2048.0,128.0,128.0,48.0,40.0,0.0,0.0,8.0,0.0
0.1875,2,Improved-gOMP,baseline,3168.0,384.0,2048.0,0.0,0.0,0.0,488.0,56.0,48.0,48.0,48.0,48.0,0.0
0.1875,2,Improved-gOMP,optimized,4848.0,384.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0
0.1875,3,Improved-gOMP,baseline,3144.0,384.0,2048.0,0.0,0.0,0.0,464.0,56.0,48.0,48.0,48.0,48.0,0.0
0.1875,3,Improved-gOMP,optimized,4848.0,384.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0
0.1875,4,Improved-gOMP,baseline,3168.0,384.0,2048.0,0.0,0.0,0.0,488.0,56.0,48.0,48.0,48.0,48.0,0.0
0.1875,4,Improved-gOMP,optimized,4848.0,384.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0
0.1875,5,Improved-gOMP,baseline,3144.0,384.0,2048.0,0.0,0.0,0.0,464.0,56.0,48.0,48.0,48.0,48.0,0.0
0.1875,5,Improved-gOMP,optimized,4848.0,384.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0
0.1875,6,Improved-gOMP,baseline,3168.0,384.0,2048.0,0.0,0.0,0.0,488.0,56.0,48.0,48.0,48.0,48.0,0.0
0.1875,6,Improved-gOMP,optimized,4848.0,384.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0
0.1875,7,Improved-gOMP,baseline,3144.0,384.0,2048.0,0.0,0.0,0.0,464.0,56.0,48.0,48.0,48.0,48.0,0.0
0.1875,7,Improved-gOMP,optimized,4848.0,384.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0
0.1875,8,Improved-gOMP,baseline,3000.0,384.0,2048.0,0.0,0.0,0.0,360.0,48.0,40.0,40.0,40.0,40.0,0.0
0.1875,8,Improved-gOMP,optimized,4088.0,384.0,2048.0,0.0,1352.0,104.0,104.0,48.0,40.0,0.0,0.0,8.0,0.0
0.1875,9,Improved-gOMP,baseline,3168.0,384.0,2048.0,0.0,0.0,0.0,488.0,56.0,48.0,48.0,48.0,48.0,0.0
0.1875,9,Improved-gOMP,optimized,4848.0,384.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0
0.1875,10,Improved-gOMP,baseline,3168.0,384.0,2048.0,0.0,0.0,0.0,488.0,56.0,48.0,48.0,48.0,48.0,0.0
0.1875,10,Improved-gOMP,optimized,4848.0,384.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0
